epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91062,0.81624,2.9009,1.13294,0.69089,0.43651,0.56279,0.39122,0.48466,8.33215,0.86878,0.00020006,0.00020006,0.00020006
2,2.79555,0.90068,1.46997,1.11992,0.6583,0.60367,0.60054,0.46643,0.63634,1.50886,0.92774,0.000410307,0.000410307,0.000410307
3,3.69203,1.01964,1.44713,1.17455,0.67261,0.35018,0.3179,0.21169,0.98504,3.53347,1.13218,0.000616311,0.000616311,0.000616311
4,4.55135,1.12522,1.48595,1.26107,0.78483,0.27471,0.38077,0.2523,1.13179,4.76074,1.2236,0.00081807,0.00081807,0.00081807
5,5.48764,1.1119,1.57814,1.25617,0.41142,0.25767,0.24121,0.13499,1.1194,7.45484,1.32696,0.00101558,0.00101558,0.00101558
6,6.32859,1.21271,1.48108,1.31952,0.2374,0.35767,0.29671,0.13536,1.5434,13.8492,1.68189,0.00120886,0.00120886,0.00120886
7,7.17158,1.33088,1.73432,1.39961,0.37903,0.3881,0.19133,0.11721,1.41522,7.27515,1.62115,0.00134412,0.00134412,0.00134412
8,8.01365,1.32868,1.59393,1.40009,0.27249,0.22487,0.12666,0.0793,1.76205,8.29283,1.97868,0.00132997,0.00132997,0.00132997
9,8.84699,1.39355,1.74994,1.48523,0.69824,0.2272,0.17102,0.06736,2.01263,13.6748,2.16877,0.00131582,0.00131582,0.00131582
10,9.68917,1.38923,1.56217,1.40817,0.72454,0.10037,0.05967,0.02858,1.46585,14.9998,1.57499,0.00130168,0.00130168,0.00130168
11,10.5323,1.32495,1.53404,1.41543,0.48088,0.15926,0.1472,0.07776,1.3498,5.305,1.52246,0.00128753,0.00128753,0.00128753
12,11.3876,1.38212,1.70256,1.41375,0.62164,0.28648,0.2332,0.12786,1.36519,3.33667,1.53805,0.00127338,0.00127338,0.00127338
13,12.2254,1.30647,1.54307,1.35896,0.32638,0.35026,0.20888,0.13482,1.29146,9.74558,1.49952,0.00125923,0.00125923,0.00125923
14,13.1569,1.32046,1.62621,1.43164,0.67895,0.33175,0.23846,0.14404,1.31001,5.67084,1.47649,0.00124509,0.00124509,0.00124509
15,13.9831,1.25251,1.47329,1.34167,0.15285,0.29894,0.1649,0.08809,1.18711,4.88477,1.31561,0.00123094,0.00123094,0.00123094
16,14.8193,1.28248,1.44204,1.33067,0.15921,0.53102,0.27467,0.14447,1.21308,4.03202,1.39088,0.00121679,0.00121679,0.00121679
17,15.6485,1.21931,1.45117,1.33317,0.35753,0.46138,0.3549,0.18351,1.174,5.94043,1.40235,0.00120265,0.00120265,0.00120265
18,16.49,1.19159,1.35456,1.34225,0.58762,0.32911,0.2469,0.13191,1.21922,4.57558,1.44346,0.0011885,0.0011885,0.0011885
19,17.3253,1.10294,1.16472,1.22689,0.42824,0.55164,0.51409,0.2789,1.32106,1.57187,1.36462,0.00117435,0.00117435,0.00117435
20,18.1568,1.19452,1.35184,1.29261,0.8118,0.42402,0.44168,0.26077,1.21237,1.57483,1.30995,0.00116021,0.00116021,0.00116021
21,18.9844,1.17795,1.26722,1.29991,0.75342,0.3836,0.41043,0.20778,1.27532,1.66432,1.34089,0.00114606,0.00114606,0.00114606
22,19.8288,1.19703,1.29641,1.31885,0.62859,0.29287,0.27835,0.1909,1.10797,1.55135,1.2816,0.00113191,0.00113191,0.00113191
23,20.7437,1.12298,1.22848,1.29621,0.59838,0.29918,0.38654,0.24208,1.08781,1.62442,1.28667,0.00111776,0.00111776,0.00111776
24,21.5801,1.09477,1.19708,1.2655,0.56266,0.40481,0.38953,0.22076,1.1368,1.64675,1.26475,0.00110362,0.00110362,0.00110362
25,22.4096,1.06459,1.14551,1.21224,0.28023,0.43545,0.33252,0.19143,1.1893,2.02519,1.26722,0.00108947,0.00108947,0.00108947
26,23.2497,1.02893,1.1641,1.20736,0.83048,0.31193,0.36905,0.2372,1.11532,1.41457,1.2406,0.00107532,0.00107532,0.00107532
27,24.0837,1.05328,1.12005,1.20241,0.38612,0.28335,0.31159,0.19623,0.96605,1.33446,1.18185,0.00106118,0.00106118,0.00106118
